species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
帆蜥鱼幼体,1,帆蜥鱼幼体,2,2,0,0,0,100.0,0.0,0.0,7.81,6000,4000,.jpg:2
带斑腔吻鳕,1,带斑腔吻鳕,2,2,0,0,0,100.0,0.0,0.0,3.18,2856,1826,.jpg:2
带纹条鳎,1,带纹条鳎,2,0,2,0,0,0.0,100.0,0.0,1.52,1380,800,.jpg:2
带鳚,1,带鳚,2,0,0,2,0,0.0,0.0,100.0,0.58,2184,428,.jpg:2
平面黄鲂鮄,1,平面黄鲂鮄,2,0,0,2,0,0.0,0.0,100.0,0.61,963,840,.jpg:2
库达海马,1,库达海马,2,0,0,2,0,0.0,0.0,100.0,0.34,1204,428,.jpg:2
康氏马鲛,1,康氏马鲛,2,0,2,0,0,0.0,100.0,0.0,1.13,2088,780,.jpg:2
廉虾海错图式采集日记,1,廉虾海错图式采集日记_6_潮间带FeiBoy_来自小红书网页版,2,0,2,0,0,0.0,100.0,0.0,0.53,1080,1440,.jpg:2
异菱的鲷,1,异菱的鲷,2,2,0,0,0,100.0,0.0,0.0,3.04,3264,2448,.jpg:2
弓背颚齿鱼,1,弓背颚齿鱼,2,2,0,0,0,100.0,0.0,0.0,3.69,4608,3456,.jpg:2
弯棘鲬,1,弯棘鲬,2,0,2,0,0,0.0,100.0,0.0,0.76,2098,1575,.jpg:2
弱眶棘鲈,1,弱眶棘鲈,2,2,0,0,0,100.0,0.0,0.0,22.52,8688,4888,.jpg:2
弱鳕,1,弱鳕,2,2,0,0,0,100.0,0.0,0.0,20.93,8688,4888,.jpg:2
强蟹,1,强蟹,2,2,0,0,0,100.0,0.0,0.0,4.5,2282,2190,.jpg:2
扁舵鲣,1,扁舵鲣,2,2,0,0,0,100.0,0.0,0.0,1.85,3126,1452,.jpg:2
拉丁直译 剑额拟海鳌虾Nephropsis ensirostris,1,拉丁直译 剑额拟海鳌虾Nephropsis ensirostris,2,0,0,2,0,0.0,0.0,100.0,0.29,1080,1440,.jpg:2
拟棘鲆,1,拟棘鲆,2,0,0,2,0,0.0,0.0,100.0,0.51,882,498,.jpg:2
拟穴美提鳗,1,拟穴美提鳗,2,2,0,0,0,100.0,0.0,0.0,20.9,8688,4888,.jpg:2
拟蓑鲉,1,拟蓑鲉,2,2,0,0,0,100.0,0.0,0.0,4.14,3264,2448,.jpg:2
斑尾鮨,1,斑尾鮨,2,2,0,0,0,100.0,0.0,0.0,17.48,8688,4888,.jpg:2
斑马躄鱼,1,斑马躄鱼,2,1,0,1,0,50.0,0.0,50.0,0.84,1185,967.5,.jpg:2
斑鳍白姑鱼,1,斑鳍白姑鱼,2,0,2,0,0,0.0,100.0,0.0,1.51,1636,888,.jpg:2
斑鳍虎鲉,1,斑鳍虎鲉,2,0,0,2,0,0.0,0.0,100.0,0.43,790,514,.jpg:2
斑鳍鲉,1,斑鳍鲉,2,0,2,0,0,0.0,100.0,0.0,1.38,1648,1032,.jpg:2
斜带此鲷,1,斜带此鲷,2,0,2,0,0,0.0,100.0,0.0,2.07,1674,1173,.jpg:2
旗月鱼,1,旗月鱼,2,2,0,0,0,100.0,0.0,0.0,2.61,4032,3024,.jpg:2
无斑叉鼻鲀,1,无斑叉鼻鲀,2,2,0,0,0,100.0,0.0,0.0,1.04,1575,2100,.jpg:2
无沟双髻鲨,1,无沟双髻鲨,2,2,0,0,0,100.0,0.0,0.0,5.06,4032,3024,.jpg:2
日本五棘鲷,1,日本五棘鲷,2,2,0,0,0,100.0,0.0,0.0,8.31,6000,4000,.jpg:2
日本单鳍电鳐,1,日本单鳍电鳐,2,2,0,0,0,100.0,0.0,0.0,1.43,1575,2100,.jpg:2
日本桥棘鲷,1,日本桥棘鲷,2,0,2,0,0,0.0,100.0,0.0,0.39,1080,1440,.jpg:2
日本海防,1,日本海防,2,1,1,0,0,50.0,50.0,0.0,1.83,2419.5,2274,.jpg:2
日本的鲷,1,日本的鲷,2,2,0,0,0,100.0,0.0,0.0,6.93,3648,2736,.jpg:2
日本细鳞鲀,1,日本细鳞鲀,2,0,0,2,0,0.0,0.0,100.0,0.48,821,561,.jpg:2
日本虾姑,1,日本虾姑,2,2,0,0,0,100.0,0.0,0.0,4.76,3968,2976,.jpg:2
日本裸晰鱼孙娜,1,日本裸晰鱼孙娜,2,0,0,2,0,0.0,0.0,100.0,1.74,2280,596,.jpg:2
日本锯大眼鲷,1,日本锯大眼鲷,2,0,0,2,0,0.0,0.0,100.0,0.45,726,616,.jpg:2
