species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
南海采集,9,南海采集06_10_潮间带FeiBoy_来自小红书网页版 | 南海采集06_11_潮间带FeiBoy_来自小红书网页版 | 南海采集06_12_潮间带FeiBoy_来自小红书网页版 | 南海采集06_5_潮间带FeiBoy_来自小红书网页版 | 南海采集07_10_潮间带FeiBoy_来自小红书网页版 | 南海采集07_1_潮间带FeiBoy_来自小红书网页版 | 南海采集07_2_潮间带FeiBoy_来自小红书网页版 | 南海采集07_3_潮间带FeiBoy_来自小红书网页版 | 南海采集07_8_潮间带FeiBoy_来自小红书网页版,18,0,16,2,0,0.0,88.9,11.1,3.9,1200,1320,.jpg:18
弓背鳄齿鱼,1,弓背鳄齿鱼,18,16,0,2,0,88.9,0.0,11.1,154.33,7794.4,4369.7,.jpg:16; .bmp:2
无斑圆鲹,1,无斑圆鲹,18,16,0,2,0,88.9,0.0,11.1,150.99,7845.8,4402.9,.jpg:18
杂斑狗母鱼,1,杂斑狗母鱼,18,18,0,0,0,100.0,0.0,0.0,170.86,8688,4888,.jpg:18
毛烟管鱼,1,毛烟管鱼,18,16,0,2,0,88.9,0.0,11.1,173.62,7948,4391.8,.jpg:18
菱的鲷,1,菱的鲷,18,18,0,0,0,100.0,0.0,0.0,67.77,3909.3,3512.9,.jpg:18
东方异腕虾,1,东方异腕虾,17,17,0,0,0,100.0,0.0,0.0,44.47,3230.1,3102.6,.jpg:17
农苏离光鱼,1,农苏离光鱼,17,17,0,0,0,100.0,0.0,0.0,69.17,4654.1,3582.1,.jpg:17
平头鱼,1,平头鱼,17,15,2,0,0,88.2,11.8,0.0,71.58,4364.2,3343.6,.jpg:17
日本犀鳕,1,日本犀鳕,17,17,0,0,0,100.0,0.0,0.0,71.17,4754.8,3249.9,.jpg:17
李氏眶灯鱼,1,李氏眶灯鱼,17,17,0,0,0,100.0,0.0,0.0,72.32,4173.2,3049.4,.jpg:17
柔珠目鱼,1,柔珠目鱼,17,17,0,0,0,100.0,0.0,0.0,59.43,4339.8,4204.2,.jpg:17
水纹扁背鲀,1,水纹扁背鲀,17,15,0,2,0,88.2,0.0,11.8,126.39,7455.8,4240.9,.jpg:17
深海鲑,1,深海鲑,17,17,0,0,0,100.0,0.0,0.0,73.58,4563.8,3329.6,.jpg:17
烟管鱼,1,烟管鱼,17,14,0,3,0,82.4,0.0,17.6,98.17,6156.7,3650.2,.jpg:16; .jpeg:1
绒毛拟海螯虾,1,绒毛拟海螯虾,17,17,0,0,0,100.0,0.0,0.0,39.81,2976,2736,.jpg:17
鳗鲡幼体,1,鳗鲡幼体,17,17,0,0,0,100.0,0.0,0.0,175.19,8688,4888,.jpg:17
2.1莫名,1,2.1莫名,16,16,0,0,0,100.0,0.0,0.0,37.19,3642,3386,.jpg:16
南海深水采集09 300-600米,8,南海深水采集09 300-600米_2_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_3_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_4_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_5_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_6_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_7_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_8_潮间带FeiBoy_来自小红书网页版 | 南海深水采集09 300-600米_9_潮间带FeiBoy_来自小红书网页版,16,0,16,0,0,0.0,100.0,0.0,3.71,1125,1395,.jpg:16
叉尾鲷,1,叉尾鲷,16,15,0,1,0,93.8,0.0,6.2,174.12,7870,4478,.jpg:15; .jpeg:1
图氏珍灯鱼,1,图氏珍灯鱼,16,16,0,0,0,100.0,0.0,0.0,36.67,3848,2886,.jpg:16
土佐䲢,1,土佐䲢,16,16,0,0,0,100.0,0.0,0.0,158.26,8688,4888,.jpg:16
尾斑鲬状鱼,1,尾斑鲬状鱼,16,16,0,0,0,100.0,0.0,0.0,155.28,8688,5001,.jpg:16
条纹副绯鲤,1,条纹副绯鲤,16,16,0,0,0,100.0,0.0,0.0,145.83,8688,4888,.jpg:16
红连鳍䲗,1,红连鳍䲗,16,16,0,0,0,100.0,0.0,0.0,148.24,8688,4888,.jpg:16
褐黄扁魟,1,褐黄扁魟,16,14,0,2,0,87.5,0.0,12.5,153.16,7744.2,4484,.jpg:16
长吻六鳃鲨,1,长吻六鳃鲨,16,16,0,0,0,100.0,0.0,0.0,175.51,8688,4888,.jpg:16
鳄齿鱼,1,鳄齿鱼,16,16,0,0,0,100.0,0.0,0.0,146.1,8688,4888,.jpg:16
黑渊鲑,1,黑渊鲑,16,16,0,0,0,100.0,0.0,0.0,68.83,4717,3232.5,.jpg:16
朴蝴蝶鱼,1,朴蝴蝶鱼,15,13,0,2,0,86.7,0.0,13.3,121.95,7302.9,4192.3,.jpg:15
齿口鱼,1,齿口鱼,15,15,0,0,0,100.0,0.0,0.0,58.93,4610.1,3336.5,.jpg:15
伊氏锯尾鲨,1,伊氏锯尾鲨,14,14,0,0,0,100.0,0.0,0.0,153.95,8688,4888,.jpg:14
冬肛鱼,1,冬肛鱼,14,14,0,0,0,100.0,0.0,0.0,48.78,4427.4,3594.1,.jpg:14
半刺玻璃虾,1,半刺玻璃虾,14,14,0,0,0,100.0,0.0,0.0,91.7,6136,4181.7,.jpg:14
天蓝眶灯鱼,1,天蓝眶灯鱼,14,14,0,0,0,100.0,0.0,0.0,49.05,3545.1,3140.6,.jpg:14
尖棘角鲂鮄,1,尖棘角鲂鮄,14,14,0,0,0,100.0,0.0,0.0,134.76,8688,4888,.jpg:14
巨尾鱼,1,巨尾鱼,14,14,0,0,0,100.0,0.0,0.0,36.93,3990.9,3091.4,.jpg:14
拟三刺鲀,1,拟三刺鲀,14,10,0,4,0,71.4,0.0,28.6,67.89,4900.3,2991.7,.jpg:14
拟角鲨,1,拟角鲨,14,12,2,0,0,85.7,14.3,0.0,65.13,4154.3,3010.3,.jpg:14
新西兰须鮟鱇,1,新西兰须鮟鱇,14,14,0,0,0,100.0,0.0,0.0,41.08,3456,4608,.jpg:14
珠鸡帆乌贼,1,珠鸡帆乌贼,14,14,0,0,0,100.0,0.0,0.0,31.48,3450.3,2882.1,.jpg:14
